_id,Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
499,2024-25,140956,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Family Responsibility Office,No Value,Supplies and equipment,No Value
500,2024-25,13570270.41,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Salaries and wages,No Value
501,2024-25,2324673.82,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Employee benefits,No Value
502,2024-25,230809.87,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transportation and communication,No Value
503,2024-25,9063848.65,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Services,No Value
504,2024-25,35284.14,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Supplies and equipment,No Value
505,2024-25,90456219,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Welfare - Community and Prevention Supports
506,2024-25,103817549,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Welfare - Indigenous Community and Prevention Supports
507,2024-25,1728851053,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Child Protection Services,Transfer payments,Child Protection Services
508,2024-25,108750237,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Salaries and wages,No Value
509,2024-25,23850586,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Employee benefits,No Value
510,2024-25,1573114,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Transportation and communication,No Value
511,2024-25,17402925,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Services,No Value
512,2024-25,4890708,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Supplies and equipment,No Value
513,2024-25,135320181,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Children and Youth at Risk,Youth Justice Services,Transfer payments,Youth Justice Services
514,2024-25,9864668,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Salaries and wages,No Value
515,2024-25,1536003,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Employee benefits,No Value
516,2024-25,189393,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transportation and communication,No Value
517,2024-25,766435,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Services,No Value
518,2024-25,20595,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Supplies and equipment,No Value
519,2024-25,1112044845,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transfer payments,Supportive Services
520,2024-25,2402073543,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Developmental Services,Transfer payments,Developmental Services Supportive Living
521,2024-25,4238220,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Salaries and wages,No Value
522,2024-25,749517,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Employee benefits,No Value
523,2024-25,88925,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transportation and communication,No Value
524,2024-25,2325310,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Services,No Value
525,2024-25,8714,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Supplies and equipment,No Value
526,2024-25,65723343,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Supports to Community Living
527,2024-25,263761679,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Supports to Victims of Violence
528,2024-25,52906284,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Vulnerable Populations,Transfer payments,Indigenous Healing and Wellness Strategy
529,2024-25,35340091,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Salaries and wages,No Value
530,2024-25,7243501,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Employee benefits,No Value
531,2024-25,281166,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transportation and communication,No Value
532,2024-25,4401599,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Services,No Value
533,2024-25,1012653,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Supplies and equipment,No Value
534,2024-25,153791326,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Child and Youth Community Supports
535,2024-25,730748365,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Autism
536,2024-25,386508815,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Children's Treatment and Rehabilitation Services
537,2024-25,180590440,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Complex Special Needs
538,2024-25,64600,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Children's Activity Tax Credit
539,2024-25,100944791,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Children and Youth Services,Transfer payments,Healthy Families
540,2024-25,50067825,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Salaries and wages,No Value
541,2024-25,10691426,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Employee benefits,No Value
542,2024-25,927495,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Transportation and communication,No Value
543,2024-25,1849447,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Services,No Value
544,2024-25,255990,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Supports to Individuals and Families,Regional Delivery,Supplies and equipment,No Value
545,2024-25,1318000000,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Ontario Child Benefit,No Value,Transfer payments,Ontario Child Benefit
546,2024-25,10693719,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Ontario Child Benefit,No Value,Transfer payments,Ontario Child Benefit Equivalent
547,2024-25,49796565,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Salaries and wages,No Value
548,2024-25,7228029,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Employee benefits,No Value
549,2024-25,343827,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Transportation and communication,No Value
550,2024-25,73084597,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Services,No Value
551,2024-25,88551,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Supplies and equipment,No Value
552,2024-25,-29840796,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,"Children, Youth and Social Services Information and Information Technology Cluster",No Value,Recoveries,No Value
553,2024-25,3049268,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Salaries and wages,No Value
554,2024-25,488162,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Employee benefits,No Value
555,2024-25,38587,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Transportation and communication,No Value
556,2024-25,105484,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Services,No Value
557,2024-25,3419,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Supplies and equipment,No Value
558,2024-25,12203885,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Transfer payments,Economic Empowerment Initiatives
559,2024-25,10367102,"Children, Community and Social Services",Operating Expense,Children and Adult Services Program,Office of Women's Social and Economic Opportunity,No Value,Transfer payments,Violence Prevention Initiatives
560,2024-25,25575712,"Children, Community and Social Services",Capital Expense,Adults' Services Program,"Children, Community and Social Services Infrastructure",No Value,Transfer payments,Partner Facility Renewal
561,2024-25,134390331,"Children, Community and Social Services",Capital Expense,Adults' Services Program,"Children, Community and Social Services Infrastructure",No Value,Transfer payments,Capital Grants
562,2024-25,3562316,"Children, Community and Social Services",Capital Expense,Adults' Services Program,"Children, Community and Social Services Infrastructure",No Value,Other transactions,Capital Investment
563,2024-25,939657,"Children, Community and Social Services",Capital Expense,Adults' Services Program,"Children, Community and Social Services Business Applications and Software",No Value,Other transactions,No Value
564,2024-25,16059914,"Children, Community and Social Services",Capital Expense,Adults' Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
565,2024-25,4688972,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
566,2024-25,592334,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
567,2024-25,153643,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
568,2024-25,144180,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
569,2024-25,19719,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
570,2024-25,3515364,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
571,2024-25,520282,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
572,2024-25,20109,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
573,2024-25,464711,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
574,2024-25,8141,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
575,2024-25,4588034,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
576,2024-25,618637,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
577,2024-25,121214,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
578,2024-25,339852,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
579,2024-25,10822,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
580,2024-25,1527465,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
581,2024-25,204283,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
582,2024-25,7264,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
583,2024-25,111781,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
584,2024-25,128,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
585,2024-25,15836,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
586,2024-25,5494671,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
587,2024-25,24510,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
588,2024-25,969737,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
589,2024-25,40399,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
590,2024-25,22378,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Associate Minister's Salary, the Executive Council Act "
591,2024-25,16667,Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
592,2024-25,14851756,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Salaries and wages,No Value
593,2024-25,2335223,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Employee benefits,No Value
594,2024-25,172426,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transportation and communication,No Value
595,2024-25,1223841,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Services,No Value
596,2024-25,37972,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Supplies and equipment,No Value
597,2024-25,87140042,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Payments under the Municipal Tax Assistance Act
598,2024-25,9823717,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Taxes on Tenanted Provincial Properties under the Municipal Tax Assistance Act
599,2024-25,372816,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Priority Projects for Municipalities and Municipal Organizations
600,2024-25,2525000,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Disaster Recovery Assistance for Ontarians
601,2024-25,1684100,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Assistance to Moosonee
602,2024-25,69135,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Municipal Disaster Recovery Assistance
603,2024-25,330367,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Assistance to Planning Boards
604,2024-25,-96963759,Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,No Value,Recoveries,No Value
605,2024-25,28590,Municipal Affairs and Housing,Capital Expense,Municipal Services,Municipal Services,No Value,Transfer payments,Municipal Disaster Recovery Assistance
606,2024-25,6237439,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,No Value,Salaries and wages,No Value
607,2024-25,868587,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,No Value,Employee benefits,No Value
608,2024-25,51584,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,No Value,Transportation and communication,No Value
609,2024-25,1535009,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,No Value,Services,No Value
610,2024-25,2253,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,No Value,Supplies and equipment,No Value
611,2024-25,8746698,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,No Value,Salaries and wages,No Value
612,2024-25,1217567,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,No Value,Employee benefits,No Value
613,2024-25,80765,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,No Value,Transportation and communication,No Value
614,2024-25,1826875,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,No Value,Services,No Value
615,2024-25,13834,Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,No Value,Supplies and equipment,No Value
616,2024-25,12958162,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Salaries and wages,No Value
617,2024-25,2047193,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Employee benefits,No Value
618,2024-25,45118,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transportation and communication,No Value
619,2024-25,6529045,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Services,No Value
620,2024-25,8207,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Supplies and equipment,No Value
621,2024-25,662120974,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,Homelessness Programs
622,2024-25,240000000,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,Homelessness Programs - New Deal
623,2024-25,160299613,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,Community Housing Programs
624,2024-25,305233044,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,National Housing Strategy Programs
625,2024-25,8000000,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,Indigenous and Community Housing Initiatives
626,2024-25,1402695,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Transfer payments,Building Faster Fund
627,2024-25,7481537,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Other transactions,No Value
628,2024-25,-24499494,Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,No Value,Recoveries,No Value
629,2024-25,1270217,Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,No Value,Salaries and wages,No Value
630,2024-25,237600,Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,No Value,Employee benefits,No Value
631,2024-25,14828,Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,No Value,Transportation and communication,No Value
632,2024-25,1087547,Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,No Value,Services,No Value
633,2024-25,3598,Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,No Value,Supplies and equipment,No Value
634,2024-25,701358,Municipal Affairs and Housing,Operating Expense,Housing Program,Statutory Appropriations,No Value,Other transactions,"Interest on Debt, the Financial Administration Act"
635,2024-25,883225,Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,No Value,Services,No Value
636,2024-25,278154309,Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,No Value,Transfer payments,National Housing Strategy Programs
637,2024-25,58386066,Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,No Value,Transfer payments,Homelessness Programs
638,2024-25,14825489,Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,No Value,Transfer payments,Community Housing Programs
639,2024-25,276696262,Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,No Value,Transfer payments,Building Faster Fund
640,2024-25,604398,Municipal Affairs and Housing,Capital Expense,Housing Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
641,2024-25,2404202,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
642,2024-25,367414,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
643,2024-25,218426,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
644,2024-25,103996,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
645,2024-25,12823,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
646,2024-25,1047703,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Finance and Administration,Salaries and wages,No Value
647,2024-25,153421,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Finance and Administration,Employee benefits,No Value
648,2024-25,20537,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Finance and Administration,Transportation and communication,No Value
649,2024-25,145061,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Finance and Administration,Services,No Value
650,2024-25,2043,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Finance and Administration,Supplies and equipment,No Value
651,2024-25,485156,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
652,2024-25,127319,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
653,2024-25,5414,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
654,2024-25,42564,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
655,2024-25,919,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
656,2024-25,885767,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
657,2024-25,166956,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
658,2024-25,5943,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
659,2024-25,189864,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
660,2024-25,4404,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
661,2024-25,974415,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and wages,No Value
662,2024-25,137907,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee benefits,No Value
663,2024-25,7695,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Transportation and communication,No Value
664,2024-25,7870,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Services,No Value
665,2024-25,1838,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Supplies and equipment,No Value
666,2024-25,-626769,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Recoveries,No Value
667,2024-25,6763,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
668,2024-25,1472766,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
669,2024-25,8294,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
670,2024-25,42176,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
671,2024-25,376331,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
672,2024-25,-327586,Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Recoveries,No Value
673,2024-25,65134,Mines,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
674,2024-25,14158,Mines,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
675,2024-25,28724838,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Salaries and wages,No Value
676,2024-25,4871723,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Employee benefits,No Value
677,2024-25,918365,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transportation and communication,No Value
678,2024-25,10988508,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Services,No Value
679,2024-25,1512637,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Supplies and equipment,No Value
680,2024-25,69820047,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Indigenous Economic Development
681,2024-25,50990,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Reporting Ontario's Mining Activities
682,2024-25,100000,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Mapping Ontario's Geological Opporunities
683,2024-25,9672500,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Focused Flow-Through Share Tax Credit
684,2024-25,10420361,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Ontario Junior Exploration Program
685,2024-25,2929750,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Critical Minerals Innovation Fund
686,2024-25,48570200,Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Resource Revenue Sharing for Mining
687,2024-25,-107246,Mines,Operating Expense,Mines and Minerals Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
688,2024-25,3350594,Mines,Capital Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Services,No Value
689,2024-25,45217,Mines,Capital Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Supplies and equipment,No Value
690,2024-25,4105025,Mines,Capital Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Matawa Broadband
691,2024-25,8298,Mines,Capital Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Other transactions,No Value
692,2024-25,26577075,Mines,Capital Expense,Mines and Minerals Program,Environmental Remediation for Mining,No Value,Services,No Value
693,2024-25,628950,Mines,Capital Expense,Mines and Minerals Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
694,2024-25,3576232,Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Salaries and wages,No Value
695,2024-25,419832,Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Employee benefits,No Value
696,2024-25,95773,Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Transportation and communication,No Value
697,2024-25,39682,Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Services,No Value
698,2024-25,25982,Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Supplies and equipment,No Value
699,2024-25,6616698,Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Salaries and wages,No Value
700,2024-25,925890,Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Employee benefits,No Value
701,2024-25,59991,Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Transportation and communication,No Value
702,2024-25,1940044,Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Services,No Value
703,2024-25,18481,Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Supplies and equipment,No Value
